id_ccaa;nombre_ccaa;abrev_ccaa;ccaa;anio;ind_fec
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;1992;0,94
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;1993;0,87
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;1994;0,83
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;1995;0,83
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;1996;0,82
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;1997;0,82
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;1998;0,8
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;1999;0,83
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;2000;0,85
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;2001;0,88
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;2002;0,86
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;2003;0,91
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;2004;0,93
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;2005;0,96
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;2006;0,98
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;2007;1,02
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;2008;1,08
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;2009;1,08
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;2010;1,04
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;2011;1,05
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;2012;1,06
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;2013;0,96
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;2014;0,99
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;2015;1,01
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;2016;1,04
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;2017;1,03
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;2018;1,03
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;2019;0,96
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;2020;0,92
4;Balears, Illes;Baleares;04 Balears, Illes;1975;2,85
4;Balears, Illes;Baleares;04 Balears, Illes;1976;2,79
4;Balears, Illes;Baleares;04 Balears, Illes;1977;2,53
4;Balears, Illes;Baleares;04 Balears, Illes;1978;2,37
4;Balears, Illes;Baleares;04 Balears, Illes;1979;2,32
4;Balears, Illes;Baleares;04 Balears, Illes;1980;2,19
4;Balears, Illes;Baleares;04 Balears, Illes;1981;2,04
4;Balears, Illes;Baleares;04 Balears, Illes;1982;1,97
4;Balears, Illes;Baleares;04 Balears, Illes;1983;1,9
4;Balears, Illes;Baleares;04 Balears, Illes;1984;1,84
4;Balears, Illes;Baleares;04 Balears, Illes;1985;1,83
4;Balears, Illes;Baleares;04 Balears, Illes;1986;1,75
4;Balears, Illes;Baleares;04 Balears, Illes;1987;1,68
4;Balears, Illes;Baleares;04 Balears, Illes;1988;1,67
4;Balears, Illes;Baleares;04 Balears, Illes;1989;1,66
4;Balears, Illes;Baleares;04 Balears, Illes;1990;1,62
4;Balears, Illes;Baleares;04 Balears, Illes;1991;1,55
4;Balears, Illes;Baleares;04 Balears, Illes;1992;1,49
4;Balears, Illes;Baleares;04 Balears, Illes;1993;1,35
4;Balears, Illes;Baleares;04 Balears, Illes;1994;1,28
4;Balears, Illes;Baleares;04 Balears, Illes;1995;1,25
4;Balears, Illes;Baleares;04 Balears, Illes;1996;1,23
4;Balears, Illes;Baleares;04 Balears, Illes;1997;1,26
4;Balears, Illes;Baleares;04 Balears, Illes;1998;1,25
4;Balears, Illes;Baleares;04 Balears, Illes;1999;1,3
4;Balears, Illes;Baleares;04 Balears, Illes;2000;1,37
4;Balears, Illes;Baleares;04 Balears, Illes;2001;1,4
4;Balears, Illes;Baleares;04 Balears, Illes;2002;1,42
4;Balears, Illes;Baleares;04 Balears, Illes;2003;1,39
4;Balears, Illes;Baleares;04 Balears, Illes;2004;1,37
4;Balears, Illes;Baleares;04 Balears, Illes;2005;1,35
4;Balears, Illes;Baleares;04 Balears, Illes;2006;1,4
4;Balears, Illes;Baleares;04 Balears, Illes;2007;1,38
4;Balears, Illes;Baleares;04 Balears, Illes;2008;1,44
4;Balears, Illes;Baleares;04 Balears, Illes;2009;1,35
4;Balears, Illes;Baleares;04 Balears, Illes;2010;1,35
4;Balears, Illes;Baleares;04 Balears, Illes;2011;1,27
4;Balears, Illes;Baleares;04 Balears, Illes;2012;1,25
4;Balears, Illes;Baleares;04 Balears, Illes;2013;1,22
4;Balears, Illes;Baleares;04 Balears, Illes;2014;1,24
4;Balears, Illes;Baleares;04 Balears, Illes;2015;1,24
4;Balears, Illes;Baleares;04 Balears, Illes;2016;1,26
4;Balears, Illes;Baleares;04 Balears, Illes;2017;1,22
4;Balears, Illes;Baleares;04 Balears, Illes;2018;1,22
4;Balears, Illes;Baleares;04 Balears, Illes;2019;1,14
4;Balears, Illes;Baleares;04 Balears, Illes;2020;1,11
5;Canarias;Canarias;05 Canarias;1975;3,18
5;Canarias;Canarias;05 Canarias;1976;3,12
5;Canarias;Canarias;05 Canarias;1977;2,9
5;Canarias;Canarias;05 Canarias;1978;2,81
5;Canarias;Canarias;05 Canarias;1979;2,7
5;Canarias;Canarias;05 Canarias;1980;2,54
5;Canarias;Canarias;05 Canarias;1981;2,37
5;Canarias;Canarias;05 Canarias;1982;2,21
5;Canarias;Canarias;05 Canarias;1983;2,05
5;Canarias;Canarias;05 Canarias;1984;1,92
5;Canarias;Canarias;05 Canarias;1985;1,79
5;Canarias;Canarias;05 Canarias;1986;1,73
5;Canarias;Canarias;05 Canarias;1987;1,67
5;Canarias;Canarias;05 Canarias;1988;1,66
5;Canarias;Canarias;05 Canarias;1989;1,57
