id_prov;nombre_prov;abrev_prov;provincia;anio;ind_fec
2;Albacete;Albacete;02 Albacete;1990;1,71
2;Albacete;Albacete;02 Albacete;1991;1,58
2;Albacete;Albacete;02 Albacete;1992;1,58
2;Albacete;Albacete;02 Albacete;1993;1,45
2;Albacete;Albacete;02 Albacete;1994;1,44
2;Albacete;Albacete;02 Albacete;1995;1,4
2;Albacete;Albacete;02 Albacete;1996;1,35
2;Albacete;Albacete;02 Albacete;1997;1,31
2;Albacete;Albacete;02 Albacete;1998;1,3
2;Albacete;Albacete;02 Albacete;1999;1,28
2;Albacete;Albacete;02 Albacete;2000;1,28
2;Albacete;Albacete;02 Albacete;2001;1,28
2;Albacete;Albacete;02 Albacete;2002;1,29
2;Albacete;Albacete;02 Albacete;2003;1,32
2;Albacete;Albacete;02 Albacete;2004;1,26
2;Albacete;Albacete;02 Albacete;2005;1,29
2;Albacete;Albacete;02 Albacete;2006;1,37
2;Albacete;Albacete;02 Albacete;2007;1,25
2;Albacete;Albacete;02 Albacete;2008;1,39
2;Albacete;Albacete;02 Albacete;2009;1,42
2;Albacete;Albacete;02 Albacete;2010;1,39
2;Albacete;Albacete;02 Albacete;2011;1,37
2;Albacete;Albacete;02 Albacete;2012;1,31
2;Albacete;Albacete;02 Albacete;2013;1,31
2;Albacete;Albacete;02 Albacete;2014;1,34
2;Albacete;Albacete;02 Albacete;2015;1,34
2;Albacete;Albacete;02 Albacete;2016;1,34
2;Albacete;Albacete;02 Albacete;2017;1,32
2;Albacete;Albacete;02 Albacete;2018;1,28
2;Albacete;Albacete;02 Albacete;2019;1,23
2;Albacete;Albacete;02 Albacete;2020;1,2
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1975;3,09
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1976;3,12
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1977;2,96
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1978;2,83
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1979;2,63
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1980;2,46
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1981;2,3
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1982;2,13
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1983;1,94
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1984;1,84
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1985;1,74
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1986;1,69
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1987;1,62
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1988;1,6
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1989;1,52
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1990;1,5
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1991;1,45
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1992;1,39
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1993;1,3
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1994;1,25
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1995;1,21
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1996;1,18
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1997;1,15
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1998;1,16
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1999;1,2
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2000;1,26
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2001;1,3
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2002;1,32
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2003;1,37
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2004;1,38
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2005;1,38
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2006;1,4
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2007;1,39
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2008;1,46
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2009;1,34
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2010;1,35
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2011;1,29
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2012;1,28
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2013;1,25
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2014;1,29
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2015;1,32
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2016;1,3
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2017;1,32
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2018;1,26
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2019;1,26
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2020;1,21
4;Almería;Almería;04 Almería;1975;2,98
4;Almería;Almería;04 Almería;1976;3,13
4;Almería;Almería;04 Almería;1977;2,98
4;Almería;Almería;04 Almería;1978;2,93
4;Almería;Almería;04 Almería;1979;2,84
4;Almería;Almería;04 Almería;1980;2,76
4;Almería;Almería;04 Almería;1981;2,64
4;Almería;Almería;04 Almería;1982;2,47
4;Almería;Almería;04 Almería;1983;2,39
4;Almería;Almería;04 Almería;1984;2,22
4;Almería;Almería;04 Almería;1985;2,08
4;Almería;Almería;04 Almería;1986;1,97
4;Almería;Almería;04 Almería;1987;1,96
4;Almería;Almería;04 Almería;1988;1,91
4;Almería;Almería;04 Almería;1989;1,81
4;Almería;Almería;04 Almería;1990;1,82
4;Almería;Almería;04 Almería;1991;1,7
4;Almería;Almería;04 Almería;1992;1,65
4;Almería;Almería;04 Almería;1993;1,56
4;Almería;Almería;04 Almería;1994;1,45
4;Almería;Almería;04 Almería;1995;1,43
4;Almería;Almería;04 Almería;1996;1,38
4;Almería;Almería;04 Almería;1997;1,38
4;Almería;Almería;04 Almería;1998;1,36
4;Almería;Almería;04 Almería;1999;1,43
4;Almería;Almería;04 Almería;2000;1,4
4;Almería;Almería;04 Almería;2001;1,48
4;Almería;Almería;04 Almería;2002;1,43
4;Almería;Almería;04 Almería;2003;1,49
4;Almería;Almería;04 Almería;2004;1,57
4;Almería;Almería;04 Almería;2005;1,56
4;Almería;Almería;04 Almería;2006;1,64
4;Almería;Almería;04 Almería;2007;1,63
4;Almería;Almería;04 Almería;2008;1,71
4;Almería;Almería;04 Almería;2009;1,59
4;Almería;Almería;04 Almería;2010;1,6
4;Almería;Almería;04 Almería;2011;1,57
4;Almería;Almería;04 Almería;2012;1,53
4;Almería;Almería;04 Almería;2013;1,52
4;Almería;Almería;04 Almería;2014;1,58
4;Almería;Almería;04 Almería;2015;1,62
4;Almería;Almería;04 Almería;2016;1,63
4;Almería;Almería;04 Almería;2017;1,62
4;Almería;Almería;04 Almería;2018;1,62
4;Almería;Almería;04 Almería;2019;1,61
4;Almería;Almería;04 Almería;2020;1,51
5;Ávila;Ávila;05 Ávila;1975;2,04
5;Ávila;Ávila;05 Ávila;1976;1,88
5;Ávila;Ávila;05 Ávila;1977;1,97
5;Ávila;Ávila;05 Ávila;1978;2,03
5;Ávila;Ávila;05 Ávila;1979;2,02
5;Ávila;Ávila;05 Ávila;1980;2,11
5;Ávila;Ávila;05 Ávila;1981;1,96
5;Ávila;Ávila;05 Ávila;1982;1,9
5;Ávila;Ávila;05 Ávila;1983;1,72
5;Ávila;Ávila;05 Ávila;1984;1,73
5;Ávila;Ávila;05 Ávila;1985;1,67
5;Ávila;Ávila;05 Ávila;1986;1,59
5;Ávila;Ávila;05 Ávila;1987;1,49
5;Ávila;Ávila;05 Ávila;1988;1,37
5;Ávila;Ávila;05 Ávila;1989;1,38
5;Ávila;Ávila;05 Ávila;1990;1,38
5;Ávila;Ávila;05 Ávila;1991;1,2
5;Ávila;Ávila;05 Ávila;1992;1,1
5;Ávila;Ávila;05 Ávila;1993;1,15
5;Ávila;Ávila;05 Ávila;1994;1,12
5;Ávila;Ávila;05 Ávila;1995;1,14
5;Ávila;Ávila;05 Ávila;1996;1,08
5;Ávila;Ávila;05 Ávila;1997;1,05
5;Ávila;Ávila;05 Ávila;1998;0,99
5;Ávila;Ávila;05 Ávila;1999;1,05
5;Ávila;Ávila;05 Ávila;2000;1,06
5;Ávila;Ávila;05 Ávila;2001;1,05
5;Ávila;Ávila;05 Ávila;2002;1,05
5;Ávila;Ávila;05 Ávila;2003;1,09
5;Ávila;Ávila;05 Ávila;2004;1,13
5;Ávila;Ávila;05 Ávila;2005;1,22
5;Ávila;Ávila;05 Ávila;2006;1,24
5;Ávila;Ávila;05 Ávila;2007;1,21
5;Ávila;Ávila;05 Ávila;2008;1,38
5;Ávila;Ávila;05 Ávila;2009;1,33
5;Ávila;Ávila;05 Ávila;2010;1,3
5;Ávila;Ávila;05 Ávila;2011;1,27
5;Ávila;Ávila;05 Ávila;2012;1,22
5;Ávila;Ávila;05 Ávila;2013;1,16
5;Ávila;Ávila;05 Ávila;2014;1,28
5;Ávila;Ávila;05 Ávila;2015;1,2
5;Ávila;Ávila;05 Ávila;2016;1,26
5;Ávila;Ávila;05 Ávila;2017;1,24
5;Ávila;Ávila;05 Ávila;2018;1,16
5;Ávila;Ávila;05 Ávila;2019;1,16
5;Ávila;Ávila;05 Ávila;2020;1,09
6;Badajoz;Badajoz;06 Badajoz;1975;2,56
6;Badajoz;Badajoz;06 Badajoz;1976;2,57
6;Badajoz;Badajoz;06 Badajoz;1977;2,49
6;Badajoz;Badajoz;06 Badajoz;1978;2,56
6;Badajoz;Badajoz;06 Badajoz;1979;2,54
6;Badajoz;Badajoz;06 Badajoz;1980;2,58
6;Badajoz;Badajoz;06 Badajoz;1981;2,5
6;Badajoz;Badajoz;06 Badajoz;1982;2,47
6;Badajoz;Badajoz;06 Badajoz;1983;2,31
6;Badajoz;Badajoz;06 Badajoz;1984;2,19
6;Badajoz;Badajoz;06 Badajoz;1985;2,02
6;Badajoz;Badajoz;06 Badajoz;1986;1,98
6;Badajoz;Badajoz;06 Badajoz;1987;1,94
6;Badajoz;Badajoz;06 Badajoz;1988;1,89
6;Badajoz;Badajoz;06 Badajoz;1989;1,81
6;Badajoz;Badajoz;06 Badajoz;1990;1,72
6;Badajoz;Badajoz;06 Badajoz;1991;1,71
6;Badajoz;Badajoz;06 Badajoz;1992;1,65
6;Badajoz;Badajoz;06 Badajoz;1993;1,56
6;Badajoz;Badajoz;06 Badajoz;1994;1,48
6;Badajoz;Badajoz;06 Badajoz;1995;1,41
6;Badajoz;Badajoz;06 Badajoz;1996;1,36
6;Badajoz;Badajoz;06 Badajoz;1997;1,33
6;Badajoz;Badajoz;06 Badajoz;1998;1,29
6;Badajoz;Badajoz;06 Badajoz;1999;1,31
6;Badajoz;Badajoz;06 Badajoz;2000;1,3
6;Badajoz;Badajoz;06 Badajoz;2001;1,3
6;Badajoz;Badajoz;06 Badajoz;2002;1,3
6;Badajoz;Badajoz;06 Badajoz;2003;1,33
6;Badajoz;Badajoz;06 Badajoz;2004;1,3
6;Badajoz;Badajoz;06 Badajoz;2005;1,32
6;Badajoz;Badajoz;06 Badajoz;2006;1,35
6;Badajoz;Badajoz;06 Badajoz;2007;1,32
6;Badajoz;Badajoz;06 Badajoz;2008;1,45
6;Badajoz;Badajoz;06 Badajoz;2009;1,41
6;Badajoz;Badajoz;06 Badajoz;2010;1,39
6;Badajoz;Badajoz;06 Badajoz;2011;1,36
6;Badajoz;Badajoz;06 Badajoz;2012;1,35
6;Badajoz;Badajoz;06 Badajoz;2013;1,26
6;Badajoz;Badajoz;06 Badajoz;2014;1,33
6;Badajoz;Badajoz;06 Badajoz;2015;1,32
6;Badajoz;Badajoz;06 Badajoz;2016;1,33
6;Badajoz;Badajoz;06 Badajoz;2017;1,33
6;Badajoz;Badajoz;06 Badajoz;2018;1,24
6;Badajoz;Badajoz;06 Badajoz;2019;1,25
6;Badajoz;Badajoz;06 Badajoz;2020;1,22
7;Balears, Illes;Baleares;07 Balears, Illes;1975;2,85
7;Balears, Illes;Baleares;07 Balears, Illes;1976;2,79
7;Balears, Illes;Baleares;07 Balears, Illes;1977;2,53
7;Balears, Illes;Baleares;07 Balears, Illes;1978;2,37
7;Balears, Illes;Baleares;07 Balears, Illes;1979;2,32
7;Balears, Illes;Baleares;07 Balears, Illes;1980;2,19
7;Balears, Illes;Baleares;07 Balears, Illes;1981;2,04
7;Balears, Illes;Baleares;07 Balears, Illes;1982;1,97
7;Balears, Illes;Baleares;07 Balears, Illes;1983;1,9
7;Balears, Illes;Baleares;07 Balears, Illes;1984;1,84
7;Balears, Illes;Baleares;07 Balears, Illes;1985;1,83
7;Balears, Illes;Baleares;07 Balears, Illes;1986;1,75
7;Balears, Illes;Baleares;07 Balears, Illes;1987;1,68
7;Balears, Illes;Baleares;07 Balears, Illes;1988;1,67
7;Balears, Illes;Baleares;07 Balears, Illes;1989;1,66
7;Balears, Illes;Baleares;07 Balears, Illes;1990;1,62
7;Balears, Illes;Baleares;07 Balears, Illes;1991;1,55
7;Balears, Illes;Baleares;07 Balears, Illes;1992;1,49
7;Balears, Illes;Baleares;07 Balears, Illes;1993;1,35
7;Balears, Illes;Baleares;07 Balears, Illes;1994;1,28
7;Balears, Illes;Baleares;07 Balears, Illes;1995;1,25
7;Balears, Illes;Baleares;07 Balears, Illes;1996;1,23
7;Balears, Illes;Baleares;07 Balears, Illes;1997;1,26
7;Balears, Illes;Baleares;07 Balears, Illes;1998;1,25
7;Balears, Illes;Baleares;07 Balears, Illes;1999;1,3
7;Balears, Illes;Baleares;07 Balears, Illes;2000;1,37
7;Balears, Illes;Baleares;07 Balears, Illes;2001;1,4
7;Balears, Illes;Baleares;07 Balears, Illes;2002;1,42
7;Balears, Illes;Baleares;07 Balears, Illes;2003;1,39
7;Balears, Illes;Baleares;07 Balears, Illes;2004;1,37
7;Balears, Illes;Baleares;07 Balears, Illes;2005;1,35
7;Balears, Illes;Baleares;07 Balears, Illes;2006;1,4
7;Balears, Illes;Baleares;07 Balears, Illes;2007;1,38
7;Balears, Illes;Baleares;07 Balears, Illes;2008;1,44
7;Balears, Illes;Baleares;07 Balears, Illes;2009;1,35
7;Balears, Illes;Baleares;07 Balears, Illes;2010;1,35
7;Balears, Illes;Baleares;07 Balears, Illes;2011;1,27
7;Balears, Illes;Baleares;07 Balears, Illes;2012;1,25
7;Balears, Illes;Baleares;07 Balears, Illes;2013;1,22
7;Balears, Illes;Baleares;07 Balears, Illes;2014;1,24
7;Balears, Illes;Baleares;07 Balears, Illes;2015;1,24
7;Balears, Illes;Baleares;07 Balears, Illes;2016;1,26
7;Balears, Illes;Baleares;07 Balears, Illes;2017;1,22
7;Balears, Illes;Baleares;07 Balears, Illes;2018;1,22
7;Balears, Illes;Baleares;07 Balears, Illes;2019;1,14
7;Balears, Illes;Baleares;07 Balears, Illes;2020;1,11
8;Barcelona;Barcelona;08 Barcelona;1975;2,91
8;Barcelona;Barcelona;08 Barcelona;1976;2,68
8;Barcelona;Barcelona;08 Barcelona;1977;2,59
8;Barcelona;Barcelona;08 Barcelona;1978;2,37
8;Barcelona;Barcelona;08 Barcelona;1979;2,08
8;Barcelona;Barcelona;08 Barcelona;1980;1,84
8;Barcelona;Barcelona;08 Barcelona;1981;1,53
8;Barcelona;Barcelona;08 Barcelona;1982;1,49
8;Barcelona;Barcelona;08 Barcelona;1983;1,38
8;Barcelona;Barcelona;08 Barcelona;1984;1,42
8;Barcelona;Barcelona;08 Barcelona;1985;1,46
8;Barcelona;Barcelona;08 Barcelona;1986;1,37
8;Barcelona;Barcelona;08 Barcelona;1987;1,3
8;Barcelona;Barcelona;08 Barcelona;1988;1,28
8;Barcelona;Barcelona;08 Barcelona;1989;1,25
8;Barcelona;Barcelona;08 Barcelona;1990;1,23
8;Barcelona;Barcelona;08 Barcelona;1991;1,21
8;Barcelona;Barcelona;08 Barcelona;1992;1,22
8;Barcelona;Barcelona;08 Barcelona;1993;1,17
8;Barcelona;Barcelona;08 Barcelona;1994;1,13
8;Barcelona;Barcelona;08 Barcelona;1995;1,11
8;Barcelona;Barcelona;08 Barcelona;1996;1,11
8;Barcelona;Barcelona;08 Barcelona;1997;1,14
8;Barcelona;Barcelona;08 Barcelona;1998;1,13
8;Barcelona;Barcelona;08 Barcelona;1999;1,18
8;Barcelona;Barcelona;08 Barcelona;2000;1,25
8;Barcelona;Barcelona;08 Barcelona;2001;1,26
8;Barcelona;Barcelona;08 Barcelona;2002;1,3
8;Barcelona;Barcelona;08 Barcelona;2003;1,34
8;Barcelona;Barcelona;08 Barcelona;2004;1,38
8;Barcelona;Barcelona;08 Barcelona;2005;1,39
8;Barcelona;Barcelona;08 Barcelona;2006;1,41
8;Barcelona;Barcelona;08 Barcelona;2007;1,42
8;Barcelona;Barcelona;08 Barcelona;2008;1,48
8;Barcelona;Barcelona;08 Barcelona;2009;1,42
8;Barcelona;Barcelona;08 Barcelona;2010;1,42
8;Barcelona;Barcelona;08 Barcelona;2011;1,4
8;Barcelona;Barcelona;08 Barcelona;2012;1,37
8;Barcelona;Barcelona;08 Barcelona;2013;1,31
8;Barcelona;Barcelona;08 Barcelona;2014;1,37
8;Barcelona;Barcelona;08 Barcelona;2015;1,38
8;Barcelona;Barcelona;08 Barcelona;2016;1,39
8;Barcelona;Barcelona;08 Barcelona;2017;1,37
8;Barcelona;Barcelona;08 Barcelona;2018;1,3
